paranoid_android.hum	Radiohead	82,60,82
people_get_ready.hum	The Impressions	72
please_please_please.hum	James Brown	111
proud_mary.hum	Creedence Clearwater Revival	118
purple_haze.hum	The Jimi Hendrix Experience	108
purple_rain.hum	Prince	60
rave_on.hum	Buddy Holly and the Crickets	160
redemption_song.hum	Bob Marley & The Wailers	115
respect.hum	Aretha Franklin	114
ring_of_fire.hum	Johnny Cash	103
river_deep_mountain_high.hum	Ike & Tina Turner	165
rock_and_roll_music.hum	Chuck Berry	163
rock_around_the_clock.hum	Bill Haley and His Comets	270
rockin_in_the_free_world.hum	Neil Young	130
rock_lobster.hum	The B-52's	178
roll_over_beethoven.hum	Chuck Berry	183
sabotage.hum	The Beastie Boys	83
satisfaction.hum	The Rolling Stones	138
september_gurls.hum	Big Star	112
shake_rattle_and_roll.hum	Big Joe Turner	231
she_loves_you.hum	The Beatles	150
should_i_stay_or_should_i_go.hum	The Clash	112
shout.hum	The Isley Brothers	140
smells_like_teen_spirit.hum	Nirvana	117
stairway_to_heaven.hum	Led Zeppelin	72,76,82,84,98,102
stand_by_me.hum	Ben E. King	120
strawberry_fields_forever.hum	The Beatles	90,100
summer_babe.hum	Pavement	95
summertime_blues.hum	Eddie Cochran	157
sunshine_of_your_love.hum	Cream	115
superstition.hum	Stevie Wonder	100
suspicious_minds.hum	Elvis Presley	113
sweet_child_o_mine.hum	Guns N' Roses	128
sympathy_for_the_devil.hum	The Rolling Stones	117
take_me_to_the_river.hum	Al Green	116
tangled_up_in_blue.hum	Bob Dylan	98
tears_in_heaven.hum	Eric Clapton	76
thatll_be_the_day.hum	Buddy Holly	189
thats_all_right.hum	Elvis Presley	205
the_boxer.hum	Simon and Garfunkel	91
the_dock_of_the_bay.hum	Otis Redding	104
the_message.hum	Grandmaster Flash & the Furious Five	100
the_sounds_of_silence.hum	Simon and Garfunkel	105
the_times_they_are_a-changin.hum	Bob Dylan	168
the_tracks_of_my_tears.hum	The Miracles	97
the_weight.hum	The Band	71
thunder_road.hum	Bruce Springsteen	138
tutti_frutti.hum	Little Richard	277
up_on_the_roof.hum	The Drifters	122
voodoo_child.hum	Jimi Hendrix	88
walk_on_by.hum	Dionne Warwick	100
waterloo_sunset.hum	The Kinks	106
whatd_i_say.hum	Ray Charles	179
whats_going_on.hum	Marvin Gaye	100
when_a_man_loves_a_woman.hum	Percy Sledge	95
when_doves_cry.hum	Prince and the Revolution	126
while_my_guitar_gently_weeps.hum	The Beatles	113
who_do_you_love.hum	Bo Diddley	227
whole_lotta_love.hum	Led Zeppelin	93
whole_lotta_shakin_goin_on.hum	Jerry Lee Lewis	252
will_you_love_me_tomorrow.hum	The Shirelles	138
with_or_without_you.hum	U2	110
wont_get_fooled_again.hum	The Who	135
yesterday.hum	The Beatles	98
you_cant_always_get_what_you_want.hum	The Rolling Stones	80,90
you_really_got_me.hum	The Kinks	136
your_song.hum	Elton John	128
you_send_me.hum	Sam Cooke	144
youve_lost_that_lovin_feelin.hum	The Righteous Brothers	96
