FileName	ARTIST	TITLE	Release Year	Rolling Stone Rank	RS 5x20 subset	Lyric subset	YoutubeLink
Aerosmith_DreamOn_1973	Aerosmith	Dream On	1973	172	FALSE	FALSE	https://www.youtube.com/watch?v=Pj5kNX2h8Qg
ThePenguins_EarthAngel_1954	The Penguins	Earth Angel	1954	151	FALSE	FALSE	https://www.youtube.com/watch?v=VJcGi4-n_Yw
TheByrds_EightMilesHigh_1966	The Byrds	Eight Miles High	1966	150	FALSE	FALSE	https://www.youtube.com/watch?v=J74ttSR8lEg
TheBeatles_EleanorRigby_1966	The Beatles	Eleanor Rigby	1966	137	FALSE	FALSE	https://www.youtube.com/watch?v=HuS5NuXRb5Y
Metallica_EnterSandman_1991	Metallica	Enter Sandman	1991	399	TRUE	TRUE	https://www.youtube.com/watch?v=_W7wqQwa-TU
ThePolice_EveryBreathYouTake_1983	The Police	Every Breath You Take	1983	84	TRUE	TRUE	https://www.youtube.com/watch?v=OMOGaugKpzs
SlyAndTheFamilyStone_EverydayPeople_1968	Sly and the Family Stone	Everyday People	1968	145	FALSE	FALSE	https://www.youtube.com/watch?v=YUUhDoCx8zc
Radiohead_FakePlasticTrees_1995	Radiohead	Fake Plastic Trees	1995	376	TRUE	TRUE	https://www.youtube.com/watch?v=n5h0qHwNrHk
SlyAndTheFamilyStone_FamilyAffair_1971	Sly and the Family Stone	Family Affair	1971	138	FALSE	FALSE	https://www.youtube.com/watch?v=MbT_ask1Cco
TracyChapman_FastCar_1988	Tracy Chapman	Fast Car	1988	165	TRUE	TRUE	https://www.youtube.com/watch?v=IxXO2ybSvfg
JohnnyCash_FolsomPrisonBlues_1956	Johnny Cash	Folsom Prison Blues	1956	164	FALSE	FALSE	https://www.youtube.com/watch?v=or8hZmWN96Q
BuffaloSpringfield_ForWhatItsWorth_1967	Buffalo Springfield	For What It's Worth	1967	63	FALSE	FALSE	https://www.youtube.com/watch?v=gp5JCrSXkJY
CreedenceClearwaterRevival_FortunateSon_1969	Creedence Clearwater Revival	Fortunate Son	1969	99	FALSE	FALSE	https://www.youtube.com/watch?v=ec0XKhAHR5I
TheJimiHendrixExperience_FoxeyLady_1965	The Jimi Hendrix Experience	Foxey Lady	1965	152	FALSE	FALSE	https://www.youtube.com/watch?v=_PVjcIO4MT4
TomPetty_FreeFallin_1989	Tom Petty	Free Fallin'	1989	177	TRUE	TRUE	https://www.youtube.com/watch?v=1lWJXDG2i0A
RayCharles_GeorgiaOnMyMind_1960	Ray Charles	Georgia on My Miind	1960	44	FALSE	FALSE	https://www.youtube.com/watch?v=-DFhuE_XeT8
TheRollingStones_GimmeShelter_1969	The Rolling Stones	Gimme Shelter	1969	38	FALSE	FALSE	https://www.youtube.com/watch?v=SBva-z1AsGk
FleetwoodMac_GoYourOwnWay_1977	Fleetwood Mac	Go Your Own Way	1977	119	FALSE	FALSE	https://www.youtube.com/watch?v=ozl3L9fhKtE
TheBeachBoys_GodOnlyKnows_1966	The Beach Boys	God Only Knows	1966	25	TRUE	FALSE	https://www.youtube.com/watch?v=lpd4jzKA4SA
TheSexPistols_GodSaveTheQueen_1977	The Sex Pistols	God Save the Queen	1977	173	FALSE	FALSE	https://www.youtube.com/watch?v=RvMxqcgBhWQ
LittleRichard_GoodGollyMissMolly_1958	Little Richard	Good Golly, Miss Molly	1958	94	TRUE	TRUE	https://www.youtube.com/watch?v=vPKDjqDflBc
TheBeachBoys_GoodVibrations_1966	The Beach Boys	Good Vibrations	1966	6	TRUE	FALSE	https://www.youtube.com/watch?v=mdt0SOqPJcg
JerryLeeLewis_GreatBallsOfFire_1957	Jerry Lee Lewis	Great Balls Of Fire	1957	96	TRUE	TRUE	https://www.youtube.com/watch?v=BQa7wOu_I_A
JeffBuckley_Hallelujah_1994	Jeff Buckley	Hallelujah	1994	259	TRUE	FALSE	https://www.youtube.com/watch?v=y8AWFf7EAc4
ElvisPresley_HeartbreakHotel_1956	Elvis Presley	Heartbreak Hotel	1956	45	TRUE	FALSE	https://www.youtube.com/watch?v=e9BLw4W5KU8
TheBeatles_Help_1965	The Beatles	Help!	1965	29	TRUE	TRUE	https://www.youtube.com/watch?v=CTsB-llTzyc
DavidBowie_Heroes_1977	David Bowie	Heroes	1977	46	TRUE	TRUE	https://www.youtube.com/watch?v=A3ol17NnBHk
TheBeatles_HeyJude_1968	The Beatles	Hey Jude	1968	8	TRUE	TRUE	https://www.youtube.com/watch?v=A_MjCqQoLLA
TheRollingStones_HonkyTonkWomen_1969	The Rolling Stones	Honky Tonk Women	1969	116	FALSE	FALSE	https://www.youtube.com/watch?v=gqtJELaLG5k
DonnaSummer_HotStuff_1979	Donna Summer	Hot Stuff	1979	103	TRUE	TRUE	https://www.youtube.com/watch?v=AqS4aNi0HQY
TheEagles_HotelCalifornia_1976	The Eagles	Hotel California	1976	49	TRUE	TRUE	https://www.youtube.com/watch?v=nKnbty_Kdc0
ElvisPresley_HoundDog_1956	Elvis Presley	Hound Dog	1956	19	TRUE	FALSE	https://www.youtube.com/watch?v=aNYWl13IWhY
TheAnimals_HouseOfTheRisingSun_1964	The Animals	House of the Rising Sun	1964	122	FALSE	FALSE	https://www.youtube.com/watch?v=0Fy7opKu46c
RKelly_IBelieveICanFly_1996	R. Kelly	I Believe I Can Fly	1996	406	TRUE	TRUE	https://www.youtube.com/watch?v=GIQn8pab8Vc
BonnieRaitt_ICantMakeYouLoveMe_1991	Bonnie Raitt	I Can't Make You Love Me	1991	331	TRUE	TRUE	https://www.youtube.com/watch?v=nW9Cu6GYqxo
RayCharles_ICantStopLovingYou_1962	Ray Charles	I Can't Stop Loving You	1962	161	FALSE	FALSE	https://www.youtube.com/watch?v=w-YqaTDDCDM
TheBobbyFullerFour_IFoughtTheLaw_1966	The Bobby Fuller Four	I Fought the Law	1966	175	FALSE	FALSE	https://www.youtube.com/watch?v=OgtQj8O92eI
JamesBrown_IGotYou_1965	James Brown	I Got You (I Feel Good)	1965	78	FALSE	FALSE	https://www.youtube.com/watch?v=ETNWrulIDic
MarvinGaye_IHeardItThroughTheGrapevine_1968	Marvin Gaye	I Heard It Through the Grapevine	1968	80	FALSE	FALSE	https://www.youtube.com/watch?v=hajBdDM2qdg
TheFlamingos_IOnlyHaveEyesForYou_1959	The Flamingos	I Only Have Eyes for You	1959	157	FALSE	FALSE	https://www.youtube.com/watch?v=FvzNeh4Mq1o
TheBeatles_ISawHerStandingThere_1964	The Beatles	I Saw Her Standing There	1964	139	FALSE	FALSE	https://www.youtube.com/watch?v=mwBdWVTR-o8
U2_IStillHaventFoundWhatImLookingFor_1987	U2	I Still Haven't Found What I'm Looking For	1987	93	TRUE	TRUE	https://www.youtube.com/watch?v=e3-5YC_oHjE
JohnnyCash_IWalkTheLine_1956	Johnny Cash	I Walk the Line	1956	30	TRUE	TRUE	https://www.youtube.com/watch?v=Ut34Q_tM0JM
TheRamones_IWannaBeSedated_1978	The Ramones	I Wanna Be Sedated	1978	144	FALSE	FALSE	https://www.youtube.com/watch?v=bm51ihfi1p4
TheBeatles_IWantToHoldYourHand_1963	The Beatles	I Want to Hold Your Hand	1963	16	TRUE	TRUE	https://www.youtube.com/watch?v=jenWdylTtzs
TheJackson5_IWantYouBack_1969	The Jackson 5	I Want You Back	1969	120	FALSE	FALSE	https://www.youtube.com/watch?v=GP5qFx2yAtU
HankWilliams_ImSoLonesomeICouldCry_1949	Hank Williams	I'm So Lonesome I Could Cry	1949	111	FALSE	FALSE	https://www.youtube.com/watch?v=4WXYjm74WFI
TheVelvetUnderground_ImWaitingForTheMan_1967	The Velvet Underground	I'm Waiting for the Man	1967	159	FALSE	FALSE	https://www.youtube.com/watch?v=kRIFVWQIVrg
OtisRedding_IveBeenLovingYouTooLong_1965	Otis Redding	I've Been Loving You Too Long (to Stop Now)	1965	110	FALSE	FALSE	https://www.youtube.com/watch?v=qZ6OrrkeVFo
JohnLennon_Imagine_1971	John Lennon	Imagine	1971	3	TRUE	TRUE	https://www.youtube.com/watch?v=EJ72bYyEtBg
Nirvana_InBloom_1991	Nirvana	In Bloom	1991	407	TRUE	TRUE	https://www.youtube.com/watch?v=kRY1cvrfdlg
TheBeatles_InMyLife_1965	The Beatles	In My Life	1965	23	TRUE	TRUE	https://www.youtube.com/watch?v=YBcdt6DsLQA
WilsonPickett_InTheMidnightHour_1965	Wilson Pickett	In The Midnight Hour	1965	134	FALSE	FALSE	https://www.youtube.com/watch?v=rixhkdO_IdU
TheFiveSatins_InTheStillOfTheNight_1956	The Five Satins	In the Still of the Nite	1956	90	TRUE	FALSE	https://www.youtube.com/watch?v=MRb1-SAAIzs
JamesBrown_ItsAMansMansMansWorld_1966	James Brown	It's a Man's Man's Man's World	1966	123	FALSE	FALSE	https://www.youtube.com/watch?v=7rq9OvaJyRc
ElvisPresley_JailhouseRock_1957	Elvis Presley	Jailhouse Rock	1957	67	TRUE	TRUE	https://www.youtube.com/watch?v=MfrC8PAQtlg
ChuckBerry_JohnnyBGoode_1958	Chuck Berry	Johnny B. Goode	1958	7	TRUE	TRUE	https://www.youtube.com/watch?v=6ROwVrF0Ceg
TheRollingStones_JumpinJackFlash_1968	The Rolling Stones	Jumpin' Jack Flash	1968	124	FALSE	FALSE	https://www.youtube.com/watch?v=ruTMp4Sy1E
LedZeppelin_Kashmir_1975	Led Zeppelin	Kashmir	1975	140	FALSE	FALSE	https://www.youtube.com/watch?v=Zp3nCW8VkJ8
